
========================================================================================
  EPL (Premier League)   OOS: 218 matches
  Profitable: 255 | Losing: 1603 | Baseline rows: 14
========================================================================================

  BASELINE (no filters) per odds range:
  Label                                                   n     WR  Odds    ROI%    EV%
  ------------------------------------------------------------------------------------
  home[1.55,1.8) elo>=30 form>=1.5 mkt>=0.5              12  33.3%  1.63  -45.0% -45.6%
  home[1.55,1.8) elo>=30 form>=1.5                       12  33.3%  1.63  -45.0% -45.6%
  home[1.55,1.8) elo>=30 form>=1.5 mkt>=0.45             12  33.3%  1.63  -45.0% -45.6%
  away[1.8,2.2) xg>=1.2 elo<=-150 mkt>=0.4                7  28.6%  1.99  -43.4% -43.0%
  away[1.8,2.2) xg>=1.2 elo<=-150 mkt>=0.35               7  28.6%  1.99  -43.4% -43.0%
  away[1.8,2.2) xg>=1.2 elo<=-150                         7  28.6%  1.99  -43.4% -43.0%
  away[1.7,2.0) xg>=1.0                                  13  30.8%  1.83  -43.0% -43.8%
  away[1.7,2.0) xg>=1.0 elo<=-30                         13  30.8%  1.83  -43.0% -43.8%
  away[1.7,2.0) xg>=1.0 elo<=-30 mkt>=0.35               13  30.8%  1.83  -43.0% -43.8%
  away[1.7,2.0) xg>=1.0 elo<=-30 mkt>=0.4                13  30.8%  1.83  -43.0% -43.8%
  away[1.7,2.0) xg>=1.0 mkt>=0.45                        13  30.8%  1.83  -43.0% -43.8%
  away[1.7,2.0) xg>=1.0 mkt>=0.35                        13  30.8%  1.83  -43.0% -43.8%
  away[1.7,2.0) xg>=1.0 mkt>=0.4                         13  30.8%  1.83  -43.0% -43.8%
  away[2.0,2.5) xg>=1.0 mkt>=0.4                         15  26.7%  2.14  -43.0% -42.9%
  away[1.7,2.0) xg>=1.0 elo<=-30 mkt>=0.45               13  30.8%  1.83  -43.0% -43.8%
  away[1.8,2.2) xg>=1.0 elo<=-75 mkt>=0.4                17  29.4%  1.96  -42.9% -42.4%
  away[1.8,2.2) xg>=1.0 elo<=-75                         17  29.4%  1.96  -42.9% -42.4%
  away[1.8,2.2) xg>=1.0 elo<=-75 mkt>=0.35               17  29.4%  1.96  -42.9% -42.4%
  home[1.7,2.0) elo>=30 form>=1.5 mkt>=0.5                6  33.3%  1.76  -42.3% -41.3%
  away[1.8,2.2) xg>=1.5 elo<=-30 mkt>=0.45               13  30.8%  1.93  -41.8% -40.7%
  away[1.8,2.2) xg>=1.5 elo<=-75 mkt>=0.4                13  30.8%  1.94  -41.8% -40.3%
  away[1.8,2.2) xg>=1.0 elo<=-75 mkt>=0.45               13  30.8%  1.90  -41.8% -41.5%
  away[1.8,2.2) xg>=1.5 elo<=-75                         13  30.8%  1.94  -41.8% -40.3%
  away[1.8,2.2) xg>=1.5 mkt>=0.45                        13  30.8%  1.93  -41.8% -40.7%
  away[1.8,2.2) xg>=1.5 elo<=-75 mkt>=0.35               13  30.8%  1.94  -41.8% -40.3%
  away[1.3,1.55) xg>=1.2 elo<=-150 form>=2.2 mkt>=0.35    5  40.0%  1.44  -41.4% -42.5%
  away[1.3,1.55) xg>=1.2 form>=2.2 mkt>=0.45              5  40.0%  1.44  -41.4% -42.5%
  away[1.3,1.55) xg>=1.0 elo<=-75 form>=2.2               5  40.0%  1.44  -41.4% -42.5%
  away[1.3,1.55) xg>=1.0 elo<=-75 form>=2.2 mkt>=0.4      5  40.0%  1.44  -41.4% -42.5%
  away[1.3,1.55) xg>=1.0 elo<=-75 form>=2.2 mkt>=0.45     5  40.0%  1.44  -41.4% -42.5%
  away[1.3,1.55) xg>=1.2 form>=2.2 mkt>=0.4               5  40.0%  1.44  -41.4% -42.5%
  away[1.3,1.55) xg>=1.0 elo<=-150 form>=2.2 mkt>=0.35    5  40.0%  1.44  -41.4% -42.5%
  away[1.3,1.55) xg>=1.0 elo<=-150 form>=2.2 mkt>=0.4     5  40.0%  1.44  -41.4% -42.5%
  away[1.3,1.55) xg>=1.0 elo<=-150 form>=2.2 mkt>=0.45    5  40.0%  1.44  -41.4% -42.5%
  away[1.3,1.55) xg>=1.2 form>=2.2                        5  40.0%  1.44  -41.4% -42.5%
  away[1.3,1.55) xg>=1.2 form>=2.2 mkt>=0.35              5  40.0%  1.44  -41.4% -42.5%
  away[1.3,1.55) elo<=-75 form>=2.2 mkt>=0.4              5  40.0%  1.44  -41.4% -42.5%
  away[1.3,1.55) xg>=1.0 elo<=-150 form>=2.2              5  40.0%  1.44  -41.4% -42.5%
  away[1.3,1.55) xg>=1.2 elo<=-150 form>=2.2 mkt>=0.45    5  40.0%  1.44  -41.4% -42.5%
  away[1.3,1.55) xg>=1.5 elo<=-75 form>=2.2 mkt>=0.35     5  40.0%  1.44  -41.4% -42.5%
  away[1.3,1.55) elo<=-150 form>=2.2 mkt>=0.35            5  40.0%  1.44  -41.4% -42.5%
  away[1.3,1.55) xg>=1.2 elo<=-150 form>=2.2 mkt>=0.4     5  40.0%  1.44  -41.4% -42.5%
  away[1.3,1.55) xg>=1.5 elo<=-75 form>=2.2 mkt>=0.45     5  40.0%  1.44  -41.4% -42.5%
  away[1.3,1.55) xg>=1.5 elo<=-75 form>=2.2 mkt>=0.4      5  40.0%  1.44  -41.4% -42.5%
  away[1.3,1.55) xg>=1.5 elo<=-75 form>=2.2               5  40.0%  1.44  -41.4% -42.5%
  away[1.3,1.55) elo<=-150 form>=2.2 mkt>=0.4             5  40.0%  1.44  -41.4% -42.5%
  away[1.3,1.55) xg>=1.5 elo<=-30 form>=2.2 mkt>=0.4      5  40.0%  1.44  -41.4% -42.5%
  away[1.3,1.55) xg>=1.5 elo<=-30 form>=2.2 mkt>=0.35     5  40.0%  1.44  -41.4% -42.5%
  away[1.3,1.55) xg>=1.5 elo<=-30 form>=2.2               5  40.0%  1.44  -41.4% -42.5%
  away[1.3,1.55) xg>=1.5 form>=2.2 mkt>=0.45              5  40.0%  1.44  -41.4% -42.5%
  away[1.3,1.55) xg>=1.5 form>=2.2 mkt>=0.4               5  40.0%  1.44  -41.4% -42.5%
  away[1.3,1.55) xg>=1.5 form>=2.2 mkt>=0.35              5  40.0%  1.44  -41.4% -42.5%
  away[1.3,1.55) xg>=1.5 form>=2.2                        5  40.0%  1.44  -41.4% -42.5%
  away[1.3,1.55) elo<=-75 form>=2.2 mkt>=0.45             5  40.0%  1.44  -41.4% -42.5%
  away[1.3,1.55) elo<=-150 form>=2.2                      5  40.0%  1.44  -41.4% -42.5%
  away[1.3,1.55) xg>=1.2 elo<=-150 form>=2.2              5  40.0%  1.44  -41.4% -42.5%
