
===============================================================================================================================================================================
  EPL (Premier League)
===============================================================================================================================================================================
  Filter                                                  n_tot  AvgROI%  AvgWR%   Win%   W/T  2023-08         2023-11         2024-02         2024-05         2024-08         2024-11         2025-02         2025-05         2025-08         2025-11         2026-02       
  ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------

  ── ★ СТАБІЛЬНО ПРИБУТКОВІ (avg>0, win%>=60%)  (355) ──
  away[1.55,1.8) xg>=1.5 elo<=-75 form>=1.5 mkt>=0.35        22   +16.5%   71.3%    60%  3/5  +57%/100%/n3    +13%/67%/n3     +33%/80%/n5     —               —               —               —               —               —               -20%/50%/n6     -1%/60%/n5     ★
  away[1.55,1.8) xg>=1.5 elo<=-75 form>=1.5 mkt>=0.4         22   +16.5%   71.3%    60%  3/5  +57%/100%/n3    +13%/67%/n3     +33%/80%/n5     —               —               —               —               —               —               -20%/50%/n6     -1%/60%/n5     ★
  away[1.55,1.8) xg>=1.5 elo<=-75 form>=1.5 mkt>=0.45        22   +16.5%   71.3%    60%  3/5  +57%/100%/n3    +13%/67%/n3     +33%/80%/n5     —               —               —               —               —               —               -20%/50%/n6     -1%/60%/n5     ★
  away[1.55,1.8) xg>=1.2 elo<=-30 form>=1.8                  30   +16.3%   71.4%    67%  4/6  +58%/100%/n4    +1%/60%/n5      +39%/83%/n6     —               —               —               —               —               +20%/75%/n4     -20%/50%/n6     -1%/60%/n5     ★
  away[1.55,1.8) xg>=1.2 elo<=-30 form>=1.8 mkt>=0.35        30   +16.3%   71.4%    67%  4/6  +58%/100%/n4    +1%/60%/n5      +39%/83%/n6     —               —               —               —               —               +20%/75%/n4     -20%/50%/n6     -1%/60%/n5     ★
  away[1.55,1.8) xg>=1.2 elo<=-30 form>=1.8 mkt>=0.4         30   +16.3%   71.4%    67%  4/6  +58%/100%/n4    +1%/60%/n5      +39%/83%/n6     —               —               —               —               —               +20%/75%/n4     -20%/50%/n6     -1%/60%/n5     ★
  away[1.55,1.8) xg>=1.2 elo<=-30 form>=1.8 mkt>=0.45        30   +16.3%   71.4%    67%  4/6  +58%/100%/n4    +1%/60%/n5      +39%/83%/n6     —               —               —               —               —               +20%/75%/n4     -20%/50%/n6     -1%/60%/n5     ★
  away[1.55,1.8) elo<=-75 form>=1.8                          30   +16.2%   71.1%    67%  4/6  +62%/100%/n4    +1%/60%/n5      +11%/67%/n6     —               —               —               —               —               +61%/100%/n3    -20%/50%/n6     -18%/50%/n6    ★
  away[1.55,1.8) elo<=-75 form>=1.8 mkt>=0.35                30   +16.2%   71.1%    67%  4/6  +62%/100%/n4    +1%/60%/n5      +11%/67%/n6     —               —               —               —               —               +61%/100%/n3    -20%/50%/n6     -18%/50%/n6    ★
  away[1.55,1.8) elo<=-75 form>=1.8 mkt>=0.4                 30   +16.2%   71.1%    67%  4/6  +62%/100%/n4    +1%/60%/n5      +11%/67%/n6     —               —               —               —               —               +61%/100%/n3    -20%/50%/n6     -18%/50%/n6    ★
  away[1.55,1.8) elo<=-75 form>=1.8 mkt>=0.45                30   +16.2%   71.1%    67%  4/6  +62%/100%/n4    +1%/60%/n5      +11%/67%/n6     —               —               —               —               —               +61%/100%/n3    -20%/50%/n6     -18%/50%/n6    ★
  away[1.55,1.8) xg>=1.5 elo<=-30 form>=1.5                  27   +15.8%   71.1%    67%  4/6  +58%/100%/n4    +13%/67%/n3     +39%/83%/n6     —               —               —               —               —               +6%/67%/n3      -20%/50%/n6     -1%/60%/n5     ★
  away[1.55,1.8) xg>=1.5 elo<=-30 form>=1.5 mkt>=0.35        27   +15.8%   71.1%    67%  4/6  +58%/100%/n4    +13%/67%/n3     +39%/83%/n6     —               —               —               —               —               +6%/67%/n3      -20%/50%/n6     -1%/60%/n5     ★
  away[1.55,1.8) xg>=1.5 elo<=-30 form>=1.5 mkt>=0.4         27   +15.8%   71.1%    67%  4/6  +58%/100%/n4    +13%/67%/n3     +39%/83%/n6     —               —               —               —               —               +6%/67%/n3      -20%/50%/n6     -1%/60%/n5     ★
  away[1.55,1.8) xg>=1.5 elo<=-30 form>=1.5 mkt>=0.45        27   +15.8%   71.1%    67%  4/6  +58%/100%/n4    +13%/67%/n3     +39%/83%/n6     —               —               —               —               —               +6%/67%/n3      -20%/50%/n6     -1%/60%/n5     ★
  away[1.55,1.8) xg>=1.0 elo<=-30                            45   +15.7%   71.4%    67%  4/6  +58%/100%/n5    +10%/67%/n9     +49%/89%/n9     —               —               —               —               —               +20%/75%/n4     -4%/60%/n10     -38%/38%/n8    ★
  away[1.55,1.8) xg>=1.0 elo<=-30 mkt>=0.35                  45   +15.7%   71.4%    67%  4/6  +58%/100%/n5    +10%/67%/n9     +49%/89%/n9     —               —               —               —               —               +20%/75%/n4     -4%/60%/n10     -38%/38%/n8    ★
  away[1.55,1.8) xg>=1.0 elo<=-30 mkt>=0.4                   45   +15.7%   71.4%    67%  4/6  +58%/100%/n5    +10%/67%/n9     +49%/89%/n9     —               —               —               —               —               +20%/75%/n4     -4%/60%/n10     -38%/38%/n8    ★
