ws_gap,odds_min,odds_max,ev_min,f1_n,f1_wr,f1_roi,f2_n,f2_wr,f2_roi,avg_roi
70,2.0,2.8,0.05,107,0.5046728971962616,15.514018691588785,166,0.43373493975903615,-2.5481927710843366,6.482912960252224
70,2.0,2.8,0.08,107,0.5046728971962616,15.514018691588785,166,0.43373493975903615,-2.5481927710843366,6.482912960252224
70,2.0,2.8,0.0,107,0.5046728971962616,15.514018691588785,166,0.43373493975903615,-2.5481927710843366,6.482912960252224
70,2.0,2.8,0.03,107,0.5046728971962616,15.514018691588785,166,0.43373493975903615,-2.5481927710843366,6.482912960252224
70,2.0,2.8,0.1,107,0.5046728971962616,15.514018691588785,166,0.43373493975903615,-2.5481927710843366,6.482912960252224
70,2.2,3.0,0.0,79,0.4810126582278481,17.253164556962027,112,0.39285714285714285,-4.437500000000001,6.407832278481013
70,2.2,3.0,0.05,79,0.4810126582278481,17.253164556962027,112,0.39285714285714285,-4.437500000000001,6.407832278481013
70,2.2,3.0,0.03,79,0.4810126582278481,17.253164556962027,112,0.39285714285714285,-4.437500000000001,6.407832278481013
70,2.2,3.0,0.1,79,0.4810126582278481,17.253164556962027,112,0.39285714285714285,-4.437500000000001,6.407832278481013
70,2.2,3.0,0.08,79,0.4810126582278481,17.253164556962027,112,0.39285714285714285,-4.437500000000001,6.407832278481013
70,1.75,2.5,0.03,155,0.5483870967741935,13.354838709677425,245,0.4857142857142857,-0.5918367346938741,6.381500987491775
70,1.75,2.5,0.0,157,0.5477707006369427,13.025477707006376,246,0.4878048780487805,-0.28455284552845195,6.370462430738962
50,2.0,2.8,0.1,144,0.4930555555555556,14.027777777777775,255,0.43137254901960786,-1.380392156862744,6.323692810457516
50,2.2,3.0,0.0,111,0.46846846846846846,14.441441441441437,189,0.3968253968253968,-1.8148148148148149,6.313313313313311
50,2.2,3.0,0.03,111,0.46846846846846846,14.441441441441437,189,0.3968253968253968,-1.8148148148148149,6.313313313313311
50,2.2,3.0,0.05,111,0.46846846846846846,14.441441441441437,189,0.3968253968253968,-1.8148148148148149,6.313313313313311
50,2.2,3.0,0.08,111,0.46846846846846846,14.441441441441437,189,0.3968253968253968,-1.8148148148148149,6.313313313313311
