gap_min,dom_min,odds_min,kelly_cap,bets,win_rate,avg_odds,roi,profit,bankroll
70,50,1.5,0.04,1098,0.697632058287796,2.037750455373406,40.16,361621359.18,361622359.18
70,70,1.5,0.04,1098,0.697632058287796,2.037750455373406,40.16,361621359.18,361622359.18
70,60,1.5,0.04,1098,0.697632058287796,2.037750455373406,40.16,361621359.18,361622359.18
70,80,2.2,0.02,307,0.5472312703583062,2.589902280130293,40.15,7115.56,8115.56
50,70,1.8,0.02,812,0.5997536945812808,2.403374384236453,40.1,256496.81,257496.81
80,70,2.2,0.03,231,0.5584415584415584,2.5279653679653675,40.07,9945.9,10945.9
80,60,2.2,0.03,231,0.5584415584415584,2.5279653679653675,40.07,9945.9,10945.9
80,50,2.2,0.03,231,0.5584415584415584,2.5279653679653675,40.07,9945.9,10945.9
80,80,2.2,0.03,231,0.5584415584415584,2.5279653679653675,40.07,9945.9,10945.9
70,70,2.2,0.06,343,0.5422740524781341,2.6348979591836734,40.05,638530.85,639530.85
70,50,2.2,0.06,343,0.5422740524781341,2.6348979591836734,40.05,638530.85,639530.85
70,60,2.2,0.06,343,0.5422740524781341,2.6348979591836734,40.05,638530.85,639530.85
80,50,1.5,0.02,874,0.7185354691075515,1.9670594965675057,39.89,307087.93,308087.93
80,80,1.5,0.02,874,0.7185354691075515,1.9670594965675057,39.89,307087.93,308087.93
80,60,1.5,0.02,874,0.7185354691075515,1.9670594965675057,39.89,307087.93,308087.93
80,70,1.5,0.02,874,0.7185354691075515,1.9670594965675057,39.89,307087.93,308087.93
70,60,1.5,0.03,1098,0.697632058287796,2.037750455373406,39.87,22437945.96,22438945.96
70,50,1.5,0.03,1098,0.697632058287796,2.037750455373406,39.87,22437945.96,22438945.96
70,70,1.5,0.03,1098,0.697632058287796,2.037750455373406,39.87,22437945.96,22438945.96
70,70,2.2,0.04,343,0.5422740524781341,2.6348979591836734,39.86,90379.96,91379.96
70,60,2.2,0.04,343,0.5422740524781341,2.6348979591836734,39.86,90379.96,91379.96
70,50,2.2,0.04,343,0.5422740524781341,2.6348979591836734,39.86,90379.96,91379.96
50,60,2.0,0.04,732,0.5546448087431693,2.6433333333333335,39.83,25931846.28,25932846.28
80,50,1.7,0.03,590,0.6644067796610169,2.1479152542372884,39.69,440593.27,441593.27
80,60,1.7,0.03,590,0.6644067796610169,2.1479152542372884,39.69,440593.27,441593.27
80,80,1.7,0.03,590,0.6644067796610169,2.1479152542372884,39.69,440593.27,441593.27
80,70,1.7,0.03,590,0.6644067796610169,2.1479152542372884,39.69,440593.27,441593.27
70,80,1.7,0.02,700,0.6485714285714286,2.2029714285714284,39.56,116025.04,117025.04
70,60,2.2,0.03,343,0.5422740524781341,2.6348979591836734,39.51,31127.91,32127.91
70,50,2.2,0.03,343,0.5422740524781341,2.6348979591836734,39.51,31127.91,32127.91
70,70,2.2,0.03,343,0.5422740524781341,2.6348979591836734,39.51,31127.91,32127.91
70,60,1.7,0.04,770,0.6428571428571429,2.227064935064935,39.42,18516696.33,18517696.33
70,70,1.7,0.04,770,0.6428571428571429,2.227064935064935,39.42,18516696.33,18517696.33
70,50,1.7,0.04,770,0.6428571428571429,2.227064935064935,39.42,18516696.33,18517696.33
50,60,1.5,0.06,1550,0.675483870967742,2.153948387096774,39.25,43988877647148.32,43988877648148.32
80,70,2.2,0.02,231,0.5584415584415584,2.5279653679653675,39.23,4116.82,5116.82
80,60,2.2,0.02,231,0.5584415584415584,2.5279653679653675,39.23,4116.82,5116.82
80,50,2.2,0.02,231,0.5584415584415584,2.5279653679653675,39.23,4116.82,5116.82
70,50,1.8,0.04,650,0.6123076923076923,2.3166153846153845,39.23,4525292.63,4526292.63
70,60,1.8,0.04,650,0.6123076923076923,2.3166153846153845,39.23,4525292.63,4526292.63
80,80,2.2,0.02,231,0.5584415584415584,2.5279653679653675,39.23,4116.82,5116.82
70,70,1.8,0.04,650,0.6123076923076923,2.3166153846153845,39.23,4525292.63,4526292.63
70,60,1.5,0.02,1098,0.697632058287796,2.037750455373406,39.19,1026606.22,1027606.22
70,50,1.5,0.02,1098,0.697632058287796,2.037750455373406,39.19,1026606.22,1027606.22
70,70,1.5,0.02,1098,0.697632058287796,2.037750455373406,39.19,1026606.22,1027606.22
50,60,2.0,0.06,732,0.5546448087431693,2.6433333333333335,39.0,1624696537.15,1624697537.15
50,60,1.7,0.06,1159,0.6264020707506471,2.342683347713546,38.87,905355480439.64,905355481439.64
80,80,1.7,0.02,590,0.6644067796610169,2.1479152542372884,38.82,64517.0,65517.0
80,70,1.7,0.02,590,0.6644067796610169,2.1479152542372884,38.82,64517.0,65517.0
80,60,1.7,0.02,590,0.6644067796610169,2.1479152542372884,38.82,64517.0,65517.0
80,50,1.7,0.02,590,0.6644067796610169,2.1479152542372884,38.82,64517.0,65517.0
