features,n_groups,n_feats,min_ev,max_odds,n_bets,win_rate,flat_roi,kelly_roi,bankroll
form_basic+form_adv+xg+elo+standings+rest+market_ext,7,64,0.2,2.5,195,50.3,8.33,5.46,1054.63
form_adv+elo+standings,3,31,0.1,3.0,538,46.3,8.32,7.13,1071.33
elo,1,8,0.12,2.5,302,51.3,8.3,8.98,1089.78
form_adv+elo+market_ext,3,25,0.1,2.2,143,55.9,8.27,7.77,1077.68
elo+standings+rest,3,19,0.2,2.2,63,55.6,8.26,7.1,1071.01
form_adv+elo+rest+market_ext,4,28,0.12,2.2,126,57.1,8.25,6.48,1064.79
form_basic+form_adv+elo+standings+market_ext,5,47,0.2,2.2,68,55.9,8.2,5.98,1059.79
form_basic+form_adv+xg+standings,4,54,0.15,2.5,286,50.3,8.19,5.39,1053.95
form_adv+xg+elo+standings,4,45,0.12,2.5,313,51.4,8.19,7.18,1071.78
form_adv+xg+elo,3,37,0.03,2.5,499,52.7,8.17,6.09,1060.86
form_adv+elo+rest+market_ext,4,28,0.2,3.0,332,45.2,8.15,5.72,1057.17
form_basic+xg+elo+standings,4,44,0.2,2.5,174,50.0,8.15,6.86,1068.62
form_adv+standings+market_ext,3,28,0.05,2.5,447,52.1,8.14,8.44,1084.36
form_basic+elo+rest+market_ext,4,27,0.15,2.5,210,50.5,8.14,5.46,1054.56
form_adv+xg+elo,3,37,0.12,2.5,278,51.4,8.14,6.87,1068.68
form_adv+xg+elo+rest,4,40,0.1,2.5,365,52.1,8.09,6.92,1069.23
form_basic+form_adv+xg+standings+rest,5,57,0.2,2.5,196,49.5,8.08,6.66,1066.57
form_adv+rest+market_ext,3,23,0.2,3.0,349,44.4,8.08,6.02,1060.22
elo+standings+rest+market_ext,4,21,0.08,2.5,342,51.5,8.04,6.71,1067.08
xg+elo+standings+rest+market_ext,5,35,0.1,2.5,376,51.1,8.04,7.81,1078.09
form_adv+xg+elo+rest+market_ext,5,42,0.08,2.5,415,52.3,8.02,6.79,1067.86
