date,league,outcome,actual,ws_dominant,ws_weak,ws_gap,odds,p_elo,won,fold
2024-12-28 14:00:00,Serie A,home,home,35,20,15,2.74,0.5530851005914913,True,3
2024-12-28 17:00:00,Serie A,away,away,144,7,137,1.48,0.7563214856740282,True,3
2024-12-28 20:30:00,Primeira Liga,home,home,117,4,113,1.23,0.7386650179336488,True,3
2024-12-29 14:00:00,Serie B,home,away,15,7,8,3.21,0.5404681076684,False,3
2024-12-29 14:00:00,Serie A,home,home,114,3,111,1.35,0.7356420482556812,True,3
2024-12-29 14:00:00,Serie B,home,home,116,4,112,1.53,0.7087843081628613,True,3
2024-12-29 14:00:00,Serie B,away,home,91,7,84,2.78,0.640254511515247,False,3
2024-12-29 14:00:00,Serie B,home,home,31,13,18,2.47,0.5376730911164693,True,3
2024-12-29 15:30:00,Primeira Liga,home,home,17,1,16,2.22,0.5338633190302674,True,3
2024-12-29 16:15:00,Serie B,home,home,47,3,44,2.33,0.6042370069620908,True,3
2024-12-29 16:15:00,Serie B,away,home,26,7,19,2.74,0.5337650150328969,False,3
2024-12-29 18:00:00,Primeira Liga,home,away,87,4,83,1.54,0.5806237767906158,False,3
2024-12-29 18:30:00,Serie B,away,away,87,5,82,2.67,0.6673732405582309,True,3
2024-12-29 20:30:00,Primeira Liga,away,home,57,38,19,2.87,0.5413967843579692,False,3
2024-12-30 17:30:00,Serie A,home,home,17,15,2,1.8,0.48989727407862055,True,3
2024-12-30 19:45:00,Serie A,home,away,88,3,85,1.56,0.7075669965401234,False,3
2024-12-30 20:15:00,Primeira Liga,away,away,67,4,63,2.84,0.5602192530529642,True,3
2025-01-03 20:00:00,La Liga,away,away,149,5,144,1.48,0.7637759654950891,True,3
2025-01-03 20:00:00,Ligue 1,home,home,52,12,40,2.31,0.6118613997964106,True,3
2025-01-04 16:00:00,Ligue 1,away,home,90,10,80,2.1,0.5969006626902312,False,3
2025-01-04 17:00:00,Serie A,away,away,110,33,77,2.58,0.5719549334673999,True,3
2025-01-04 18:00:00,Primeira Liga,home,away,102,26,76,1.46,0.5989997806448495,False,3
2025-01-04 20:00:00,Ligue 1,home,home,108,2,106,1.4,0.6901713023708379,True,3
2025-01-04 20:30:00,Primeira Liga,away,away,32,10,22,2.24,0.4942206352271993,True,3
2025-01-05 11:30:00,Serie A,away,away,49,11,38,3.14,0.5541950471497537,True,3
2025-01-05 14:00:00,Ligue 1,away,home,71,11,60,2.27,0.5431975682588299,False,3
2025-01-05 14:00:00,Ligue 1,away,home,46,17,29,4.21,0.5630327483346791,False,3
2025-01-05 14:00:00,Ligue 1,home,away,34,9,25,2.2,0.5375439488149066,False,3
2025-01-05 19:45:00,Serie A,away,home,83,23,60,3.14,0.6517133339101935,False,3
2025-01-05 19:45:00,Ligue 1,home,home,98,8,90,1.4,0.7237519802604233,True,3
2025-01-05 20:30:00,Primeira Liga,home,away,24,1,23,2.44,0.5027946969900516,False,3
2025-01-10 19:00:00,Eredivisie,away,away,34,19,15,2.57,0.5014504604330028,True,3
2025-01-10 19:45:00,Jupiler Pro League,home,home,57,10,47,2.17,0.5885662230889497,True,4
2025-01-10 19:45:00,Bundesliga,away,away,113,20,93,2.38,0.5829381267742553,True,4
2025-01-10 20:00:00,La Liga,away,home,11,5,6,2.91,0.5088891024895572,False,4
2025-01-11 13:00:00,La Liga,away,away,94,5,89,2.5,0.5738231323778126,True,4
2025-01-11 14:00:00,Serie A,home,away,29,15,14,1.99,0.5188447696322412,False,4
2025-01-11 14:30:00,Bundesliga,away,away,83,4,79,3.19,0.5731110856647412,True,4
2025-01-11 14:30:00,Bundesliga,home,home,81,4,77,1.46,0.6740660084472605,True,4
2025-01-11 14:30:00,Bundesliga,away,away,85,2,83,2.27,0.6228088753030974,True,4
2025-01-11 14:30:00,Bundesliga,home,home,80,6,74,1.74,0.7227819173721581,True,4
2025-01-11 14:30:00,Bundesliga,away,home,82,14,68,2.68,0.6014913166412272,False,4
2025-01-11 15:00:00,Jupiler Pro League,away,away,13,10,3,3.48,0.49513410075069597,True,4
2025-01-11 15:15:00,La Liga,away,home,111,12,99,1.84,0.6633820608109045,False,4
2025-01-11 16:00:00,Ligue 1,away,home,122,14,108,2.27,0.6391462747504155,False,4
2025-01-11 17:15:00,Jupiler Pro League,home,home,92,6,86,1.66,0.6377681232435737,True,4
2025-01-11 17:30:00,Bundesliga,away,away,131,31,100,1.4,0.6166053536989795,True,4
2025-01-11 17:45:00,Eredivisie,home,home,129,1,128,1.19,0.7881261404554212,True,4
2025-01-11 18:00:00,Ligue 1,away,away,86,9,77,2.69,0.6135225915931342,True,4
2025-01-11 19:00:00,Eredivisie,away,away,28,20,8,2.59,0.4685338617209913,True,4
2025-01-11 19:45:00,Jupiler Pro League,away,away,96,17,79,2.3,0.6015421236188065,True,4
2025-01-11 20:05:00,Ligue 1,away,away,119,30,89,2.42,0.6794580052903285,True,4
2025-01-12 11:15:00,Eredivisie,home,home,88,11,77,1.41,0.6027259187926757,True,4
2025-01-12 11:30:00,Serie B,away,away,147,6,141,1.98,0.762288104504371,True,4
2025-01-12 11:30:00,Serie A,home,home,15,11,4,2.12,0.5300795762406064,True,4
2025-01-12 13:00:00,La Liga,home,away,55,6,49,2.79,0.5778452657924433,False,4
2025-01-12 13:30:00,Eredivisie,home,away,70,17,53,1.51,0.5190976118204945,False,4
2025-01-12 14:00:00,Serie A,away,away,147,7,140,1.41,0.7756366685396008,True,4
2025-01-12 14:00:00,Serie B,away,home,43,13,30,4.28,0.555664232539441,False,4
2025-01-12 14:00:00,Serie B,away,away,87,7,80,2.52,0.5627749070911057,True,4
2025-01-12 14:00:00,Ligue 1,away,away,132,4,128,1.62,0.6686846212698141,True,4
2025-01-12 14:30:00,Bundesliga,away,home,28,22,6,4.17,0.49746376561211925,False,4
2025-01-12 15:15:00,La Liga,home,home,119,4,115,1.4,0.6704841941361372,True,4
2025-01-12 15:30:00,Primeira Liga,away,home,145,5,140,1.48,0.7577305513554083,False,4
2025-01-12 15:45:00,Eredivisie,home,away,9,2,7,2.31,0.4855744907897628,False,4
2025-01-12 16:15:00,Ligue 1,home,away,31,1,30,2.02,0.5529913824147806,False,4
2025-01-12 16:15:00,Ligue 1,away,away,63,4,59,3.58,0.5915324310674016,True,4
2025-01-12 16:30:00,Bundesliga,away,away,109,6,103,2.02,0.579744432589764,True,4
2025-01-12 17:30:00,Jupiler Pro League,away,away,111,31,80,2.14,0.6175587472062978,True,4
2025-01-12 18:15:00,Jupiler Pro League,away,home,38,12,26,2.98,0.5415404112239561,False,4
2025-01-12 19:45:00,Serie A,home,home,101,1,100,1.37,0.7460207821518757,True,4
2025-01-12 19:45:00,Ligue 1,home,home,123,4,119,1.15,0.7603743173530819,True,4
2025-01-13 19:30:00,Serie B,home,home,76,13,63,1.91,0.6286110431078428,True,4
2025-01-13 19:45:00,Serie A,away,home,137,9,128,2.0,0.7360541130025946,False,4
2025-01-13 20:00:00,La Liga,home,home,23,11,12,2.2,0.4643164943074676,True,4
2025-01-14 17:30:00,Serie A,away,away,109,11,98,1.96,0.5966789699712767,True,4
2025-01-14 17:30:00,Bundesliga,away,home,113,7,106,1.62,0.6904174507112325,False,4
2025-01-14 19:30:00,Bundesliga,home,home,14,9,5,2.01,0.5015213654495265,True,4
2025-01-14 19:30:00,Bundesliga,home,home,37,17,20,1.82,0.5233917510661749,True,4
2025-01-14 19:30:00,Bundesliga,home,home,106,25,81,1.41,0.5715473599819787,True,4
2025-01-15 17:30:00,Bundesliga,away,home,78,8,70,2.91,0.5885389497149772,False,4
2025-01-15 19:30:00,Bundesliga,home,home,50,21,29,1.95,0.464301617757855,True,4
2025-01-15 19:30:00,Bundesliga,away,away,18,14,4,3.88,0.5086287228012045,True,4
