label,odds_min,gap_min,N_all,N_F1,N_F2,WR_all_%,F1_ROI_%,F2_ROI_%,KellyF1_%,KellyF2_%,MaxDD_F2_%,BK_all_$,Avg_ROI_%
"E: inj=0,poss=3 (best 2.20)",2.0,90,265,51,87,49.8,38.8,0.7,39.1,-1.9,41.7,2784.75,19.8
"E: inj=0,poss=3 (best 2.20)",2.0,110,65,14,20,49.2,27.0,19.8,26.0,17.5,24.7,1174.33,23.4
"E: inj=0,poss=3 (best 2.20)",2.1,80,311,70,89,45.7,23.5,7.0,24.1,4.9,36.9,1628.77,15.2
"E: inj=0,poss=3 (best 2.20)",2.1,90,213,45,65,50.2,43.8,3.7,44.0,1.0,36.7,3072.93,23.7
"E: inj=0,poss=3 (best 2.20)",2.1,110,51,14,15,52.9,27.0,19.3,26.0,17.1,21.4,1388.39,23.2
"E: inj=0,poss=3 (best 2.20)",2.2,80,235,55,64,45.5,22.2,9.1,21.7,6.9,31.3,1855.37,15.6
"E: inj=0,poss=3 (best 2.20)",2.2,90,153,33,44,52.3,50.9,9.8,51.3,6.9,29.0,3597.93,30.4
"E: inj=0,poss=3 (best 2.20)",2.2,110,26,9,8,61.5,26.4,18.1,24.3,15.3,15.1,1516.54,22.3
"E: inj=0,poss=3 (best 2.20)",2.4,80,120,26,36,39.2,0.6,-1.1,-3.0,-4.6,24.1,881.27,-0.2
"E: inj=0,poss=3 (best 2.20)",2.4,90,62,10,21,46.8,32.8,21.9,31.5,18.9,11.5,1456.95,27.4
"E: inj=0,poss=3 (best 2.20)",2.6,80,54,10,16,29.6,11.0,-13.6,7.9,-16.8,21.7,634.57,-1.3
"E: inj=0,poss=3 (best 2.20)",2.6,90,19,3,7,31.6,92.7,22.9,92.4,17.7,11.5,899.6,57.8
"F: balanced (inj=5,poss=7,xgr=5)",1.65,80,749,147,231,51.3,16.5,2.0,20.1,-1.3,50.0,2229.34,9.2
"F: balanced (inj=5,poss=7,xgr=5)",1.65,90,607,116,191,53.0,21.3,-2.2,24.3,-5.5,47.9,2555.29,9.6
"F: balanced (inj=5,poss=7,xgr=5)",1.65,110,314,67,90,53.8,15.1,-3.6,17.2,-5.6,43.9,972.09,5.8
"F: balanced (inj=5,poss=7,xgr=5)",1.75,80,610,125,192,49.2,15.5,2.4,17.5,-0.5,49.3,1688.77,9.0
"F: balanced (inj=5,poss=7,xgr=5)",1.75,90,472,94,155,50.8,21.1,-2.3,22.7,-5.9,44.4,1961.3,9.4
"F: balanced (inj=5,poss=7,xgr=5)",1.75,110,204,46,62,51.0,13.0,-0.8,12.6,-3.0,37.2,905.61,6.1
"F: balanced (inj=5,poss=7,xgr=5)",1.9,80,488,101,152,48.6,17.7,8.3,18.6,7.1,39.2,2431.92,13.0
"F: balanced (inj=5,poss=7,xgr=5)",1.9,90,354,70,117,50.8,26.2,5.1,26.1,2.4,39.6,3031.82,15.6
"F: balanced (inj=5,poss=7,xgr=5)",1.9,110,113,27,32,52.2,11.8,24.9,10.7,23.6,25.0,1437.12,18.4
"F: balanced (inj=5,poss=7,xgr=5)",2.0,80,396,83,125,47.0,20.1,7.0,21.3,5.2,36.4,2088.41,13.5
"F: balanced (inj=5,poss=7,xgr=5)",2.0,90,274,54,92,49.6,35.1,2.2,35.1,-0.3,38.6,2723.12,18.7
"F: balanced (inj=5,poss=7,xgr=5)",2.0,110,75,18,22,52.0,35.7,29.3,34.7,27.0,21.5,1459.11,32.5
"F: balanced (inj=5,poss=7,xgr=5)",2.1,80,323,74,98,46.7,26.4,9.6,27.7,8.3,37.6,2415.99,18.0
"F: balanced (inj=5,poss=7,xgr=5)",2.1,90,221,48,69,49.8,39.3,4.0,39.3,1.4,33.3,2883.81,21.6
"F: balanced (inj=5,poss=7,xgr=5)",2.1,110,61,18,17,55.7,35.7,31.8,34.7,29.7,18.1,1725.08,33.7
"F: balanced (inj=5,poss=7,xgr=5)",2.2,80,246,58,73,46.7,24.5,12.3,24.3,11.0,30.4,2631.07,18.4
"F: balanced (inj=5,poss=7,xgr=5)",2.2,90,159,35,47,50.9,42.3,7.6,42.1,4.7,28.4,3091.96,24.9
"F: balanced (inj=5,poss=7,xgr=5)",2.2,110,34,12,10,64.7,32.8,39.5,30.5,36.6,11.5,1880.09,36.1
"F: balanced (inj=5,poss=7,xgr=5)",2.4,80,127,28,40,40.2,2.7,2.7,-0.6,-0.5,25.6,1025.03,2.7
"F: balanced (inj=5,poss=7,xgr=5)",2.4,90,65,10,23,46.2,32.8,11.3,31.5,8.4,13.9,1423.29,22.1
"F: balanced (inj=5,poss=7,xgr=5)",2.6,80,59,12,19,33.9,14.2,1.6,11.1,-2.0,21.7,800.88,7.9
"F: balanced (inj=5,poss=7,xgr=5)",2.6,90,19,3,7,31.6,92.7,22.9,92.4,17.7,11.5,899.6,57.8
