date,league,side,actual,won,odds,model_prob,mkt_prob,ev,fold
2025-05-10 19:00:00,Ligue 1,home,draw,False,2.35,0.697493003849425,0.42538593481989706,0.6396710534040921,Fold1 (2H 2024-25)
2025-05-10 19:30:00,Primeira Liga,home,draw,False,2.38,0.6257395853383588,0.41929720071471116,0.49235335764645516,Fold1 (2H 2024-25)
2025-05-11 12:00:00,La Liga,home,home,True,2.45,0.6405937112780321,0.40822528363047,0.5692161582473283,Fold1 (2H 2024-25)
2025-05-11 14:30:00,Primeira Liga,home,away,False,2.13,0.5723615407012356,0.4697535474234503,0.2184294165325189,Fold1 (2H 2024-25)
2025-05-11 17:00:00,Primeira Liga,home,draw,False,2.44,0.5947071542363497,0.40930979133226325,0.4529512042715522,Fold1 (2H 2024-25)
2025-05-11 17:30:00,Bundesliga,home,home,True,1.65,0.7624228300189463,0.6068194952802928,0.2564244160724922,Fold1 (2H 2024-25)
2025-05-13 18:00:00,La Liga,home,away,False,2.42,0.7418196375661944,0.41395531164249316,0.7920283100675773,Fold1 (2H 2024-25)
2025-05-14 17:00:00,La Liga,home,home,True,2.31,0.6386917689841348,0.4324734446130501,0.4768346517913855,Fold1 (2H 2024-25)
2025-05-16 18:00:00,Primeira Liga,home,home,True,2.01,0.6828131022390759,0.49628844114528103,0.3758392209646335,Fold1 (2H 2024-25)
2025-05-17 13:30:00,Bundesliga,home,away,False,1.7,0.7340576656455847,0.5888816959792844,0.2465282426971671,Fold1 (2H 2024-25)
2025-05-17 13:30:00,Bundesliga,home,draw,False,2.38,0.5650466076483879,0.4200807847663012,0.3450903448552971,Fold1 (2H 2024-25)
2025-05-17 13:30:00,Bundesliga,home,away,False,2.43,0.49899957389227323,0.4111855061047657,0.2135631399544844,Fold1 (2H 2024-25)
2025-05-17 17:00:00,Primeira Liga,home,away,False,2.13,0.5841498911708216,0.468960359012715,0.2456274393865847,Fold1 (2H 2024-25)
2025-05-17 19:00:00,Ligue 1,home,away,False,2.17,0.5650924869454289,0.46052631578947373,0.2270579716529313,Fold1 (2H 2024-25)
2025-05-18 17:00:00,La Liga,home,home,True,1.91,0.6994994758086226,0.5240759713137364,0.334729150155731,Fold1 (2H 2024-25)
2025-05-18 17:00:00,La Liga,home,away,False,2.0,0.6584255481758965,0.49930651872399445,0.3186800562078371,Fold1 (2H 2024-25)
2025-05-18 18:45:00,Serie A,home,home,True,2.22,0.5834457968082502,0.4512877939529675,0.2928463934237404,Fold1 (2H 2024-25)
2025-05-22 18:30:00,Bundesliga,home,draw,False,2.34,0.6393895503573456,0.4276704769412692,0.4950518794991574,Fold1 (2H 2024-25)
2025-05-25 18:45:00,Serie A,home,away,False,1.9,0.6822278719218472,0.5263157894736842,0.29623295665150984,Fold1 (2H 2024-25)
