ws_gap,ws_dom,odds_min,odds_max,f1_n,f1_wr,f1_roi,f2_n,f2_wr,f2_roi,avg_roi
80,75,1.5,2.5,222,0.5630630630630631,5.247747747747749,347,0.5273775216138329,-3.7492795389048967,0.7492341044214264
80,65,1.5,2.5,222,0.5630630630630631,5.247747747747749,347,0.5273775216138329,-3.7492795389048967,0.7492341044214264
50,85,1.5,2.5,243,0.5473251028806584,2.946502057613173,404,0.5371287128712872,-1.6584158415841563,0.6440431080145084
60,75,1.7,3.0,216,0.5092592592592593,6.740740740740743,342,0.45614035087719296,-5.4649122807017525,0.6379142300194953
100,80,1.7,3.0,88,0.5454545454545454,8.06818181818182,128,0.46875,-6.859374999999999,0.6044034090909105
100,85,1.7,99.0,88,0.5454545454545454,8.06818181818182,128,0.46875,-6.859374999999999,0.6044034090909105
100,75,1.7,3.0,88,0.5454545454545454,8.06818181818182,128,0.46875,-6.859374999999999,0.6044034090909105
100,70,1.7,99.0,88,0.5454545454545454,8.06818181818182,128,0.46875,-6.859374999999999,0.6044034090909105
100,70,1.7,4.0,88,0.5454545454545454,8.06818181818182,128,0.46875,-6.859374999999999,0.6044034090909105
100,70,1.7,3.0,88,0.5454545454545454,8.06818181818182,128,0.46875,-6.859374999999999,0.6044034090909105
100,65,1.7,99.0,88,0.5454545454545454,8.06818181818182,128,0.46875,-6.859374999999999,0.6044034090909105
100,65,1.7,4.0,88,0.5454545454545454,8.06818181818182,128,0.46875,-6.859374999999999,0.6044034090909105
100,65,1.7,3.0,88,0.5454545454545454,8.06818181818182,128,0.46875,-6.859374999999999,0.6044034090909105
100,75,1.7,99.0,88,0.5454545454545454,8.06818181818182,128,0.46875,-6.859374999999999,0.6044034090909105
100,80,1.7,4.0,88,0.5454545454545454,8.06818181818182,128,0.46875,-6.859374999999999,0.6044034090909105
100,80,1.7,99.0,88,0.5454545454545454,8.06818181818182,128,0.46875,-6.859374999999999,0.6044034090909105
100,85,1.7,3.0,88,0.5454545454545454,8.06818181818182,128,0.46875,-6.859374999999999,0.6044034090909105
100,85,1.7,4.0,88,0.5454545454545454,8.06818181818182,128,0.46875,-6.859374999999999,0.6044034090909105
