w_inj,w_poss,w_xgr,w_elo_weak,odds_min,gap_min,N_all,N_F1,N_F2,WR_all_%,F1_ROI_%,F2_ROI_%,KellyF2_%,MaxDD_F2_%,Avg_ROI_%
3,3,3,15,2.1,110,55,14,17,56.4,47.0,31.8,29.7,18.1,39.4
10,0,0,15,2.1,110,56,17,17,57.1,34.0,44.4,43.1,14.7,39.2
10,7,5,8,2.2,110,34,12,11,64.7,51.5,26.8,23.7,14.2,39.2
7,10,0,8,2.2,110,34,12,11,64.7,51.5,26.8,23.9,15.1,39.2
10,7,8,8,2.2,110,34,12,11,64.7,51.5,26.8,23.7,14.2,39.2
10,7,3,8,2.2,110,34,12,11,64.7,51.5,26.8,23.7,14.2,39.2
7,0,8,10,2.2,110,30,11,9,63.3,23.5,55.0,52.6,11.5,39.2
7,7,8,15,2.1,110,68,19,20,57.4,43.8,34.5,32.5,17.2,39.2
10,0,5,15,2.1,110,59,17,17,55.9,34.0,44.4,43.1,14.7,39.2
5,0,8,12,2.2,110,30,11,9,63.3,23.5,55.0,52.6,11.5,39.2
7,10,8,8,2.2,110,35,12,11,65.7,51.5,26.8,23.9,15.1,39.2
5,10,5,8,2.2,110,35,12,11,65.7,51.5,26.8,23.9,15.1,39.2
5,10,3,8,2.2,110,35,12,11,65.7,51.5,26.8,23.9,15.1,39.2
5,10,0,8,2.2,110,34,12,11,64.7,51.5,26.8,23.9,15.1,39.2
5,10,8,8,2.2,110,35,12,11,65.7,51.5,26.8,23.9,15.1,39.2
7,0,8,12,2.1,110,55,16,16,56.4,24.9,53.4,52.8,14.7,39.2
5,0,8,10,2.2,110,30,11,9,63.3,23.5,55.0,52.6,11.5,39.2
7,10,5,8,2.2,110,35,12,11,65.7,51.5,26.8,23.9,15.1,39.2
10,0,3,15,2.1,110,58,17,17,56.9,34.0,44.4,43.1,14.7,39.2
7,0,8,12,2.2,110,30,11,9,63.3,23.5,55.0,52.6,11.5,39.2
7,10,3,8,2.2,110,35,12,11,65.7,51.5,26.8,23.9,15.1,39.2
3,10,3,15,2.2,110,36,11,11,63.9,51.2,26.8,23.9,15.1,39.0
7,7,0,15,2.2,110,35,12,10,62.9,38.6,39.5,36.6,11.5,39.0
3,10,0,15,2.2,110,35,11,11,62.9,51.2,26.8,23.9,15.1,39.0
5,7,0,15,2.2,110,35,12,10,62.9,38.6,39.5,36.6,11.5,39.0
3,10,5,15,2.2,110,36,11,11,63.9,51.2,26.8,23.9,15.1,39.0
3,7,8,15,2.1,110,64,17,19,56.2,47.8,30.3,27.8,17.2,39.0
0,7,0,15,2.0,110,70,15,21,51.4,52.9,25.0,23.1,21.5,38.9
3,7,5,8,2.0,110,70,15,22,52.9,48.2,29.3,27.0,21.5,38.8
3,7,3,8,2.0,110,69,15,22,53.6,48.2,29.3,27.0,21.5,38.8
3,7,8,8,2.0,110,70,15,22,52.9,48.2,29.3,27.0,21.5,38.8
5,7,0,8,2.0,110,67,15,22,53.7,48.2,29.3,27.0,21.5,38.8
5,10,0,15,2.2,110,38,14,11,63.2,50.6,26.8,23.9,15.1,38.7
10,7,5,15,2.2,110,39,14,11,64.1,50.6,26.8,23.7,14.2,38.7
7,10,5,15,2.2,110,39,14,11,64.1,50.6,26.8,23.9,15.1,38.7
5,10,3,15,2.2,110,39,14,11,64.1,50.6,26.8,23.9,15.1,38.7
5,10,5,15,2.2,110,39,14,11,64.1,50.6,26.8,23.9,15.1,38.7
7,10,0,15,2.2,110,38,14,11,63.2,50.6,26.8,23.9,15.1,38.7
7,10,3,15,2.2,110,39,14,11,64.1,50.6,26.8,23.9,15.1,38.7
10,7,3,15,2.2,110,39,14,11,64.1,50.6,26.8,23.7,14.2,38.7
10,7,0,8,2.1,110,59,18,19,57.6,47.9,29.2,27.3,18.1,38.6
5,7,0,15,2.0,110,75,17,22,53.3,47.8,29.3,27.0,21.5,38.6
0,0,8,15,2.0,110,69,16,18,52.2,42.4,34.7,32.8,17.2,38.5
3,7,8,10,2.2,110,32,10,10,65.6,37.3,39.5,36.6,11.5,38.4
3,0,8,8,2.2,110,24,7,8,66.7,31.1,45.6,42.3,11.5,38.4
5,3,5,15,2.2,110,34,12,10,61.8,37.3,39.5,36.6,11.5,38.4
7,5,5,15,2.2,110,36,12,10,63.9,37.3,39.5,36.6,11.5,38.4
10,7,0,15,2.1,110,64,20,19,57.8,47.7,29.2,27.3,18.1,38.4
7,5,3,15,2.2,110,36,12,10,63.9,37.3,39.5,36.6,11.5,38.4
3,7,5,12,2.2,110,32,10,10,65.6,37.3,39.5,36.6,11.5,38.4
3,7,5,10,2.2,110,32,10,10,65.6,37.3,39.5,36.6,11.5,38.4
7,7,0,8,2.2,110,30,10,10,63.3,37.3,39.5,36.6,11.5,38.4
5,7,0,8,2.2,110,30,10,10,63.3,37.3,39.5,36.6,11.5,38.4
3,7,8,12,2.2,110,32,10,10,65.6,37.3,39.5,36.6,11.5,38.4
3,7,3,10,2.2,110,32,10,10,65.6,37.3,39.5,36.6,11.5,38.4
5,5,5,15,2.2,110,35,12,10,62.9,37.3,39.5,36.6,11.5,38.4
3,7,3,12,2.2,110,32,10,10,65.6,37.3,39.5,36.6,11.5,38.4
5,5,3,15,2.2,110,35,12,10,62.9,37.3,39.5,36.6,11.5,38.4
7,3,5,15,2.2,110,35,12,10,62.9,37.3,39.5,36.6,11.5,38.4
7,0,5,10,2.1,110,52,14,15,55.8,27.0,49.7,48.3,14.7,38.3
7,0,3,10,2.1,110,51,14,15,56.9,27.0,49.7,48.3,14.7,38.3
7,0,0,10,2.1,110,49,14,15,57.1,27.0,49.7,48.3,14.7,38.3
7,0,8,8,2.1,110,52,14,15,55.8,27.0,49.7,48.3,14.7,38.3
3,5,0,15,2.0,110,69,14,22,52.2,47.0,29.3,27.0,21.5,38.2
5,0,5,12,2.1,110,52,14,15,55.8,27.0,49.3,47.9,14.7,38.2
5,0,3,12,2.1,110,51,14,15,56.9,27.0,49.3,47.9,14.7,38.2
3,3,3,15,2.0,110,71,14,22,52.1,47.0,29.3,27.0,21.5,38.2
