gap_min,dom_min,odds_min,bets,win_rate,avg_odds,flat_roi,flat10_bank,flat10_pnl,flat20_bank,flat20_pnl,flat50_bank,flat50_pnl,kelly1_bank,kelly1_pnl,kelly1_roi,kelly2_bank,kelly2_pnl,kelly2_roi,kelly3_bank,kelly3_pnl,kelly3_roi,kelly4_bank,kelly4_pnl,kelly4_roi,kelly6_bank,kelly6_pnl,kelly6_roi,kelly8_bank,kelly8_pnl,kelly8_roi,kelly10_bank,kelly10_pnl,kelly10_roi
40,50,1.8,566,0.6148409893992933,2.449858657243816,42.33038869257951,3395.9,2395.9,5791.8,4791.8,12979.5,11979.5,10534.8,9534.8,36.97,102464.96,101464.96,33.06,911842.36,910842.36,30.08,7018891.65,7017891.65,27.53,243758769.84,243757769.84,23.3,3033483435.36,3033482435.36,20.74,13160914080.58,13160913080.58,19.09
80,60,1.7,286,0.6818181818181818,2.1151748251748255,42.15034965034965,2205.5,1205.5,3411.0,2411.0,7027.5,6027.5,3282.47,2282.47,41.21,10427.77,9427.77,40.29,31465.61,30465.61,39.27,86079.62,85079.62,38.02,496566.55,495566.55,36.86,1923705.39,1922705.39,37.01,4818863.73,4817863.73,35.95
80,50,1.7,286,0.6818181818181818,2.1151748251748255,42.15034965034965,2205.5,1205.5,3411.0,2411.0,7027.5,6027.5,3282.47,2282.47,41.21,10427.77,9427.77,40.29,31465.61,30465.61,39.27,86079.62,85079.62,38.02,496566.55,495566.55,36.86,1923705.39,1922705.39,37.01,4818863.73,4817863.73,35.95
80,70,1.7,286,0.6818181818181818,2.1151748251748255,42.15034965034965,2205.5,1205.5,3411.0,2411.0,7027.5,6027.5,3282.47,2282.47,41.21,10427.77,9427.77,40.29,31465.61,30465.61,39.27,86079.62,85079.62,38.02,496566.55,495566.55,36.86,1923705.39,1922705.39,37.01,4818863.73,4817863.73,35.95
80,80,1.7,286,0.6818181818181818,2.1151748251748255,42.15034965034965,2205.5,1205.5,3411.0,2411.0,7027.5,6027.5,3282.47,2282.47,41.21,10427.77,9427.77,40.29,31465.61,30465.61,39.27,86079.62,85079.62,38.02,496566.55,495566.55,36.86,1923705.39,1922705.39,37.01,4818863.73,4817863.73,35.95
40,60,1.8,492,0.6158536585365854,2.442926829268292,41.983739837398375,3065.6,2065.6,5131.2,4131.2,11328.0,10328.0,7577.84,6577.84,37.37,53452.54,52452.54,34.01,351915.06,350915.06,31.38,2083160.04,2082160.04,29.05,44837318.84,44836318.84,24.87,422078397.96,422077397.96,21.97,1578544543.31,1578543543.31,19.18
70,80,1.7,341,0.6686217008797654,2.170322580645161,41.78592375366569,2424.9,1424.9,3849.8,2849.8,8124.5,7124.5,4041.22,3041.22,39.02,15600.82,14600.82,36.87,56247.8,55247.8,34.88,180279.02,179279.02,32.86,1402854.13,1401854.13,30.64,6848059.0,6847059.0,30.57,18797658.61,18796658.61,29.39
50,50,1.7,578,0.6401384083044983,2.3249999999999997,41.64532871972318,3407.1,2407.1,5814.2,4814.2,13035.5,12035.5,10541.15,9541.15,36.93,101331.17,100331.17,33.38,872321.04,871321.04,30.56,6368655.81,6367655.81,28.13,206303672.98,206302672.98,24.65,2430142278.53,2430141278.53,22.49,9757966679.76,9757965679.76,20.9
60,80,1.8,303,0.6402640264026402,2.276930693069307,41.554455445544555,2259.1,1259.1,3518.2,2518.2,7295.5,6295.5,3450.2,2450.2,39.44,11399.89,10399.89,37.66,36334.01,35334.01,36.12,107076.43,106076.43,34.53,715268.71,714268.71,32.41,3143907.0,3142907.0,32.36,7944016.67,7943016.67,31.02
50,60,1.7,548,0.6405109489051095,2.3235766423357664,41.333941605839414,3265.1,2265.1,5530.2,4530.2,12325.5,11325.5,9205.37,8205.37,37.45,77131.25,76131.25,34.49,581468.85,580468.85,32.14,3763112.76,3762112.76,30.02,97415566.8,97414566.8,26.86,1042301308.47,1042300308.47,24.87,3912752354.77,3912751354.77,22.65
60,60,1.8,400,0.625,2.366475,40.8525,2634.1,1634.1,4268.2,3268.2,9170.5,8170.5,4978.1,3978.1,38.28,23162.36,22162.36,36.05,102135.89,101135.89,34.18,411600.76,410600.76,32.45,4848604.64,4847604.64,29.5,32318136.07,32317136.07,27.82,93852645.84,93851645.84,25.44
60,50,1.8,400,0.625,2.366475,40.8525,2634.1,1634.1,4268.2,3268.2,9170.5,8170.5,4978.1,3978.1,38.28,23162.36,22162.36,36.05,102135.89,101135.89,34.18,411600.76,410600.76,32.45,4848604.64,4847604.64,29.5,32318136.07,32317136.07,27.82,93852645.84,93851645.84,25.44
50,70,1.8,386,0.6243523316062176,2.360984455958549,40.76943005181347,2573.7,1573.7,4147.4,3147.4,8868.5,7868.5,4690.46,3690.46,38.47,20536.44,19536.44,36.62,84942.12,83942.12,35.21,321680.47,320680.47,33.93,3296512.34,3295512.34,32.08,19910546.0,19909546.0,31.77,54380149.35,54379149.35,29.87
40,50,1.7,658,0.6337386018237082,2.3508662613981763,40.74468085106383,3681.0,2681.0,6362.0,5362.0,14405.0,13405.0,13525.33,12525.33,35.93,168383.39,167383.39,32.32,1822031.0,1821031.0,29.35,16055645.41,16054645.41,26.76,716412544.05,716411544.05,22.74,10463604663.91,10463603663.91,20.34,46697535834.15,46697534834.15,18.73
60,80,1.7,359,0.6601671309192201,2.1936211699164345,40.417827298050135,2451.0,1451.0,3902.0,2902.0,8255.0,7255.0,4142.92,3142.92,38.15,16355.51,15355.51,36.33,60329.85,59329.85,34.6,197807.78,196807.78,32.83,1616973.07,1615973.07,30.92,8116937.61,8115937.61,31.03,21367620.53,21366620.53,29.81
40,70,1.8,398,0.6206030150753769,2.3821859296482413,40.404522613065325,2608.1,1608.1,4216.2,3216.2,9040.5,8040.5,4868.28,3868.28,39.03,22202.61,21202.61,37.79,95438.1,94438.1,36.71,373990.37,372990.37,35.55,3987309.28,3986309.28,33.48,24140614.07,24139614.07,33.02,66047718.8,66046718.8,31.02
40,60,1.7,577,0.634315424610052,2.339514731369151,40.1265164644714,3315.3,2315.3,5630.6,4630.6,12576.5,11576.5,9574.11,8574.11,36.16,84515.0,83515.0,33.08,662901.7,661901.7,30.46,4427421.98,4426421.98,28.04,118969368.69,118968368.69,24.07,1295335455.89,1295334455.89,21.35,4983267311.97,4983266311.97,18.64
50,80,1.8,310,0.632258064516129,2.2886451612903227,40.08709677419355,2242.7,1242.7,3485.4,2485.4,7213.5,6213.5,3392.22,2392.22,38.08,11008.01,10008.01,36.53,34420.87,33420.87,35.25,99412.07,98412.07,33.91,633118.49,632118.49,32.16,2648278.9,2647278.9,32.32,6375515.77,6374515.77,31.01
40,80,1.8,317,0.6277602523659306,2.3140694006309146,39.861198738170344,2263.6,1263.6,3527.2,2527.2,7318.0,6318.0,3474.61,2474.61,38.57,11597.37,10597.37,37.56,37234.83,36234.83,36.65,110003.28,109003.28,35.52,719893.41,718893.41,33.71,3076891.76,3075891.76,33.8,7381847.71,7380847.71,32.38
60,70,1.8,369,0.6260162601626016,2.3395663956639563,39.80216802168022,2468.7,1468.7,3937.4,2937.4,8343.5,7343.5,4232.61,3232.61,37.82,16848.85,15848.85,36.19,63948.77,62948.77,34.9,223125.8,222125.8,33.67,1987109.43,1986109.43,31.79,10641675.96,10640675.96,31.43,27159958.61,27158958.61,29.66
50,70,1.7,455,0.6461538461538462,2.2672747252747256,39.78241758241758,2810.1,1810.1,4620.2,3620.2,10050.5,9050.5,5821.03,4821.03,37.28,31223.48,30223.48,35.45,152613.65,151613.65,33.9,652608.76,651608.76,32.41,8254809.66,8253809.66,30.62,57438762.5,57437762.5,30.47,161372867.41,161371867.41,28.71
40,70,1.7,468,0.6431623931623932,2.286559829059829,39.56837606837607,2851.8,1851.8,4703.6,3703.6,10259.0,9259.0,6085.82,5085.82,37.92,34249.56,33249.56,36.6,175226.78,174226.78,35.28,776991.29,775991.29,33.85,10224917.32,10223917.32,31.83,71317767.89,71316767.89,31.53,200712983.4,200711983.4,29.68
50,80,1.7,368,0.654891304347826,2.202663043478261,39.391304347826086,2449.6,1449.6,3899.2,2899.2,8248.0,7248.0,4104.67,3104.67,37.12,16036.49,15036.49,35.5,58473.47,57473.47,34.01,188293.08,187293.08,32.44,1467453.4,1466453.4,30.82,7010225.77,7009225.77,31.08,17582357.56,17581357.56,29.87
